scraped_aisle,items_found
bakkerij,1205
bier-wijn-aperitieven,2240
borrel-chips-snacks,1328
diepvries,997
drogisterij,1999
frisdrank-sappen-water,1446
fruit-verse-sappen,424
gezondheid-en-sport,1256
glutenvrij,235
groente-aardappelen,989
huishouden,1163
kaas,689
koek-snoep-chocolade,2272
koffie-thee,956
koken-tafelen-vrije-tijd,935
maaltijden-salades,525
ontbijtgranen-beleg,1350
pasta-rijst-wereldkeuken,1476
soepen-sauzen-kruiden-olie,2457
tussendoortjes,969
vegetarisch-vegan-en-plantaardig,489
vis,382
vlees,670
vleeswaren,657
zuivel-eieren,1439
