scraped_aisle,items_found
bakkerij,1199
bier-wijn-aperitieven,2237
borrel-chips-snacks,1333
diepvries,986
drogisterij,1998
frisdrank-sappen-water,1446
fruit-verse-sappen,422
gezondheid-en-sport,1242
glutenvrij,235
groente-aardappelen,989
huishouden,1154
kaas,689
koek-snoep-chocolade,2273
koffie-thee,960
koken-tafelen-vrije-tijd,922
maaltijden-salades,536
ontbijtgranen-beleg,1351
pasta-rijst-wereldkeuken,1484
soepen-sauzen-kruiden-olie,2452
tussendoortjes,972
vegetarisch-vegan-en-plantaardig,495
vis,382
vlees,669
vleeswaren,657
zuivel-eieren,1458
