scraped_aisle,items_found
bakkerij,1208
bier-wijn-aperitieven,2239
borrel-chips-snacks,1331
diepvries,997
drogisterij,1999
frisdrank-sappen-water,1447
fruit-verse-sappen,424
gezondheid-en-sport,1254
glutenvrij,235
groente-aardappelen,989
huishouden,1153
kaas,689
koek-snoep-chocolade,2274
koffie-thee,956
koken-tafelen-vrije-tijd,919
maaltijden-salades,526
ontbijtgranen-beleg,1350
pasta-rijst-wereldkeuken,1478
soepen-sauzen-kruiden-olie,2458
tussendoortjes,971
vegetarisch-vegan-en-plantaardig,489
vis,382
vlees,669
vleeswaren,657
zuivel-eieren,1439
