scraped_aisle,items_found
bakkerij,1199
bier-wijn-aperitieven,2239
borrel-chips-snacks,1331
diepvries,997
drogisterij,1999
frisdrank-sappen-water,1454
fruit-verse-sappen,424
gezondheid-en-sport,1255
glutenvrij,235
groente-aardappelen,989
huishouden,1153
kaas,689
koek-snoep-chocolade,2274
koffie-thee,960
koken-tafelen-vrije-tijd,920
maaltijden-salades,536
ontbijtgranen-beleg,1351
pasta-rijst-wereldkeuken,1478
soepen-sauzen-kruiden-olie,2465
tussendoortjes,987
vegetarisch-vegan-en-plantaardig,492
vis,382
vlees,669
vleeswaren,657
zuivel-eieren,1451
